Station Name,Station Latitude,Station Longitude
25th St,40.660397,-73.998091
25th St,40.660397,-73.998091
36th St,40.655144,-74.003549
36th St,40.655144,-74.003549
36th St,40.655144,-74.003549
45th St,40.648939,-74.010006
45th St,40.648939,-74.010006
45th St,40.648939,-74.010006
45th St,40.648939,-74.010006
53rd St,40.645069,-74.014034
53rd St,40.645069,-74.014034
53rd St,40.645069,-74.014034
53rd St,40.645069,-74.014034
53rd St,40.645069,-74.014034
59th St,40.641362,-74.017881
59th St,40.641362,-74.017881
59th St,40.641362,-74.017881
59th St,40.641362,-74.017881
59th St,40.641362,-74.017881
59th St,40.641362,-74.017881
77th St,40.629742,-74.02551
77th St,40.629742,-74.02551
77th St,40.629742,-74.02551
86th St,40.622687,-74.028398
86th St,40.622687,-74.028398
86th St,40.622687,-74.028398
95th St,40.616622,-74.030876
95th St,40.616622,-74.030876
95th St,40.616622,-74.030876
95th St,40.616622,-74.030876
95th St,40.616622,-74.030876
9th St,40.670847,-73.988302
9th St,40.670847,-73.988302
Atlantic Av-Barclays Ctr,40.683666,-73.97881
Bay Ridge Av,40.634967,-74.023377
Bay Ridge Av,40.634967,-74.023377
Bay Ridge Av,40.634967,-74.023377
DeKalb Av,40.690635,-73.981824
DeKalb Av,40.690635,-73.981824
DeKalb Av,40.690635,-73.981824
DeKalb Av,40.690635,-73.981824
DeKalb Av,40.690635,-73.981824
DeKalb Av,40.690635,-73.981824
Pacific St,40.683666,-73.97881
Pacific St,40.683666,-73.97881
Prospect Av,40.665414,-73.992872
Prospect Av,40.665414,-73.992872
Prospect Av,40.665414,-73.992872
Union St,40.677316,-73.98311
Union St,40.677316,-73.98311
Union St,40.677316,-73.98311
Union St,40.677316,-73.98311
Grand Central,40.752769,-73.979189
Grand Central,40.752769,-73.979189
Grand Central,40.752769,-73.979189
Grand Central,40.752769,-73.979189
Grand Central,40.752769,-73.979189
Grand Central,40.752769,-73.979189
Grand Central,40.752769,-73.979189
Times Square,40.755983,-73.986229
14th St,40.738228,-73.996209
14th St,40.738228,-73.996209
14th St,40.738228,-73.996209
14th St,40.738228,-73.996209
14th St,40.738228,-73.996209
14th St,40.738228,-73.996209
14th St,40.738228,-73.996209
14th St,40.738228,-73.996209
14th St,40.738228,-73.996209
14th St,40.738228,-73.996209
23rd St,40.742878,-73.992821
23rd St,40.742878,-73.992821
23rd St,40.742878,-73.992821
23rd St,40.742878,-73.992821
23rd St,40.742878,-73.992821
23rd St,40.742878,-73.992821
23rd St,40.742878,-73.992821
23rd St,40.742878,-73.992821
2nd Av,40.723402,-73.989938
2nd Av,40.723402,-73.989938
2nd Av,40.723402,-73.989938
2nd Av,40.723402,-73.989938
34th St,40.749719,-73.987823
34th St,40.749719,-73.987823
34th St,40.749719,-73.987823
34th St,40.749719,-73.987823
34th St,40.749719,-73.987823
34th St,40.749719,-73.987823
34th St,40.749719,-73.987823
34th St,40.749719,-73.987823
34th St,40.749719,-73.987823
34th St,40.749719,-73.987823
42nd St,40.754222,-73.984569
42nd St,40.754222,-73.984569
42nd St,40.754222,-73.984569
42nd St,40.754222,-73.984569
42nd St,40.754222,-73.984569
42nd St,40.754222,-73.984569
42nd St,40.754222,-73.984569
42nd St,40.754222,-73.984569
42nd St,40.754222,-73.984569
47-50th Sts Rockefeller Center,40.758663,-73.981329
47-50th Sts Rockefeller Center,40.758663,-73.981329
47-50th Sts Rockefeller Center,40.758663,-73.981329
47-50th Sts Rockefeller Center,40.758663,-73.981329
47-50th Sts Rockefeller Center,40.758663,-73.981329
47-50th Sts Rockefeller Center,40.758663,-73.981329
47-50th Sts Rockefeller Center,40.758663,-73.981329
47-50th Sts Rockefeller Center,40.758663,-73.981329
47-50th Sts Rockefeller Center,40.758663,-73.981329
47-50th Sts Rockefeller Center,40.758663,-73.981329
47-50th Sts Rockefeller Center,40.758663,-73.981329
47-50th Sts Rockefeller Center,40.758663,-73.981329
47-50th Sts Rockefeller Center,40.758663,-73.981329
47-50th Sts Rockefeller Center,40.758663,-73.981329
47-50th Sts Rockefeller Center,40.758663,-73.981329
47-50th Sts Rockefeller Center,40.758663,-73.981329
47-50th Sts Rockefeller Center,40.758663,-73.981329
4th Av,40.670272,-73.989779
4th Av,40.670272,-73.989779
57th St,40.763972,-73.97745
57th St,40.763972,-73.97745
57th St,40.763972,-73.97745
57th St,40.763972,-73.97745
57th St,40.763972,-73.97745
57th St,40.763972,-73.97745
57th St,40.763972,-73.97745
57th St,40.763972,-73.97745
7th Av,40.666271,-73.980305
7th Av,40.666271,-73.980305
7th Av,40.666271,-73.980305
7th Av,40.666271,-73.980305
7th Av,40.666271,-73.980305
